Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62292422,Psyche and Eros,Luna McNamara,"McNamara, Luna",,"=""0063295075""","=""9780063295070""",0,3.78,William Morrow,Hardcover,352,2023,2023,,2024/08/10,"greek-myth, physical-tbr, currently-reading","greek-myth (#18), physical-tbr (#17), currently-reading (#2)",currently-reading,,,,1,0
50607466,"The Henna Artist (The Jaipur Trilogy, #1)",Alka Joshi,"Joshi, Alka",,"=""0778310205""","=""9780778310204""",0,4.19,Mira Books,Paperback,384,2020,2020,,2024/08/10,"to-read, physical-tbr","to-read (#68), physical-tbr (#18)",to-read,,,,0,0
63057457,"Girl, Goddess, Queen",Bea Fitzgerald,"Fitzgerald, Bea",,"=""0241627907""","=""9780241627907""",3,4.03,Penguin,Paperback,496,2024,2023,2024/08/10,2024/06/24,greek-myth,greek-myth (#13),read,3.5 — Cute but mundane. Not too much detail. I don’t even know what the characters actually looked like. Nothing was ever really explored in full. Quick read but found myself getting bored at the end. Oh well! I like Persephone though she’s cool. Hades was also such a little baby boy so sweet and delicate. Definitely a unique Greek Mythology retelling I haven’t really seen anything like it. <br/><br/>I’m also realizing that the FAF series is just Hades and Persephone in a different font. A wayyyyy better font if you ask me though. <br/><br/>I actually only bought this book because it was next to the only outlet in Waterstones and I felt awk about standing there charging my phone so I started to fake read this book. <br/><br/>TTPD — But Daddy I Love Him,,,1,0
61756732,Queen of Shadows (Throne of Glass #4),Sarah J. Maas,"Maas, Sarah J.",,"=""1639731016""","=""9781639731015""",5,4.61,Bloomsbury Publishing,Paperback,672,2023,2015,2024/08/06,2024/08/03,,,read,6/5 stars — Impeccable. I understand why we needed to world build so hard because it made the worlds colliding 100000s times more impactful. The ups and downs then ups again of the relationships in this book were what made it one of the best books I’ve ever read. Truly the love and devotion each character comes to develop for one another is unlike anything else. So realistic and inspiring it makes me reflect and appreciate my own friendships. Makes you realize that the world could go to utter shit but if you have the right people by you then nothing even matters and you can get through the hard shit!!<br/><br/>That takeaway right there is why books rock!!!!!! <br/><br/>There were some lines that hit so hard I had to take a moment to recover. I wish I highlighted them but guess it gives me a reason to reread in the future ,,,1,0
23522,Mythology,Edith Hamilton,"Hamilton, Edith",Steele Savage,"=""0316341517""","=""9780316341516""",0,4.03,"Little, Brown and Company",Paperback,497,1998,1942,,2024/08/05,currently-reading,currently-reading (#1),currently-reading,,,,1,0
29981261,"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,"Hutchison, Dot",,"=""1503989712""","=""""",0,4.09,Thomas & Mercer,Kindle Edition,288,2016,2016,,2024/08/05,to-read,to-read (#67),to-read,,,,0,0
55440232,"The Women of Troy (Women of Troy, #2)",Pat Barker,"Barker, Pat",,"=""0385546696""","=""9780385546690""",0,3.83,Doubleday,Hardcover,307,2021,2021,,2024/08/04,"greek-myth, to-read","greek-myth (#17), to-read (#66)",to-read,,,,0,0
59427493,"The Voyage Home (Women of Troy, #3)",Pat Barker,"Barker, Pat",,"=""""","=""""",0,4.11,Penguin Books,Kindle Edition,320,2024,2024,,2024/08/04,to-read,to-read (#65),to-read,,,,0,0
54985743,People We Meet on Vacation,Emily Henry,"Henry, Emily",,"=""1984806750""","=""9781984806758""",0,3.87,Berkley,Paperback,364,2021,2021,,2024/08/03,"to-read, it-s-going-to-be-tv-movie","to-read (#64), it-s-going-to-be-tv-movie (#5)",to-read,,,,0,0
40132775,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1408884429""","=""9781408884423""",0,4.48,Bloomsbury Publishing,Hardcover,805,2022,2022,,2024/08/03,to-read,to-read (#63),to-read,,,,0,0
